"cell_id","regime","regime_label","tau0","n","rep","seed","status","error_message","loglik_iid","loglik_matern_original","loglik_matern_refined","delta_original","delta_refined","selection_original","selection_refined","fitted_range_original","fitted_range_refined","range_ratio_refined","flip_to_iid"
"fixed_domain__tau0_0.5__n_160","fixed_domain","fixed-domain",0.5,160,10,20860423,"ok",NA,-121.733314858093,-121.63014019133,-121.63014019133,0.10317466676338,0.10317466676338,"matern","matern",0.000187762347841464,0.000187762347841464,1,FALSE
"fixed_domain__tau0_0.5__n_160","fixed_domain","fixed-domain",0.5,160,25,20860438,"ok",NA,-118.244423368217,-117.895541796426,-117.895541796426,0.348881571790741,0.348881571790741,"matern","matern",0.000123006441872717,0.000123006441872717,1,FALSE
"fixed_domain__tau0_0.5__n_160","fixed_domain","fixed-domain",0.5,160,53,20860466,"ok",NA,-135.159443985064,-133.300297178382,-133.300297178382,1.85914680668276,1.85914680668276,"matern","matern",0.00729113396126472,0.00729113396126472,1,FALSE
"fixed_domain__tau0_0.2__n_320","fixed_domain","fixed-domain",0.2,320,2,20960415,"ok",NA,-56.1101886387581,-55.8303884413446,-55.8303884413446,0.279800197413522,0.279800197413522,"matern","matern",0.00119148564462247,0.00119148564462247,1,FALSE
"fixed_domain__tau0_0.2__n_320","fixed_domain","fixed-domain",0.2,320,5,20960418,"ok",NA,-44.2485550155629,-43.64390324712,-43.64390324712,0.604651768442864,0.604651768442864,"matern","matern",0.00181334379231916,0.00181334379231916,1,FALSE
"fixed_domain__tau0_0.5__n_320","fixed_domain","fixed-domain",0.5,320,4,21060417,"ok",NA,-250.869507433257,-249.46618126642,-249.46618126642,1.4033261668369,1.4033261668369,"matern","matern",0.00274631491085621,0.00274631491085621,1,FALSE
"fixed_domain__tau0_0.5__n_320","fixed_domain","fixed-domain",0.5,320,8,21060421,"ok",NA,-247.594382898483,-247.323336193933,-247.323336193933,0.271046704550599,0.271046704550599,"matern","matern",4.72188941088858e-12,4.72188941088858e-12,1,FALSE
"fixed_domain__tau0_0.5__n_320","fixed_domain","fixed-domain",0.5,320,10,21060423,"ok",NA,-253.671077088329,-253.434056287004,-253.434056287004,0.237020801325684,0.237020801325684,"matern","matern",1.63274353818168e-05,1.63274353818168e-05,1,FALSE
"increasing_domain__tau0_0.2__n_80","increasing_domain","increasing-domain",0.2,80,39,21160452,"ok",NA,-12.572627492721,-12.5020304947121,-12.5020304947121,0.0705969980089023,0.0705969980089023,"matern","matern",7.25574396400901e-05,7.25574396400901e-05,1,FALSE
"increasing_domain__tau0_0.2__n_80","increasing_domain","increasing-domain",0.2,80,16,21160429,"ok",NA,-13.415229249515,-13.3908992568814,-13.3908992568814,0.0243299926335752,0.0243299926335752,"matern","matern",0.0127412876058063,0.0127412876058063,1,FALSE
"increasing_domain__tau0_0.2__n_80","increasing_domain","increasing-domain",0.2,80,52,21160465,"ok",NA,-12.1026055061425,-11.4334545525208,-11.4334545525208,0.669150953621646,0.669150953621646,"matern","matern",0.0143499830512501,0.0143499830512501,1,FALSE
"increasing_domain__tau0_0.2__n_80","increasing_domain","increasing-domain",0.2,80,41,21160454,"ok",NA,-2.63267599607292,-2.40203267484672,-2.40203267484672,0.230643321226196,0.230643321226196,"matern","matern",0.000339530367368672,0.000339530367368672,1,FALSE
"increasing_domain__tau0_0.2__n_80","increasing_domain","increasing-domain",0.2,80,28,21160441,"ok",NA,-18.1170910173537,-17.9236763884879,-17.9236763884879,0.193414628865789,0.193414628865789,"matern","matern",0.000227255081052811,0.000227255081052811,1,FALSE
