"range","sigma","profiled_beta","loglik","relative_loglik"
0.357135722866864,0.286942812642061,0.207533530110831,-108.396900864021,-68.960103639192
0.382150803185404,0.286942812642061,0.20512326853484,-119.94607201252,-80.5092747876906
0.407165883503945,0.286942812642061,0.202817473536178,-131.617975445544,-92.1811782207143
0.432180963822485,0.286942812642061,0.200628968037301,-143.327467875732,-103.890670650903
0.132,0.325414218963091,0.228477564054692,-70.7671474327217,-31.3303502078923
0.15701508031854,0.325414218963091,0.226930547121598,-54.2567077692167,-14.8199105443874
0.182030160637081,0.325414218963091,0.225106134496843,-46.2580797755393,-6.8212825507099
0.207045240955621,0.325414218963091,0.223042473660814,-44.1020437541035,-4.66524652927416
0.232060321274162,0.325414218963091,0.220786642202115,-45.9828796805031,-6.54608245567374
0.257075401592702,0.325414218963091,0.218389955490778,-50.6625036252884,-11.225706400459
0.282090481911243,0.325414218963091,0.215904492417441,-57.2849902901426,-17.8481930653132
0.307105562229783,0.325414218963091,0.21337983870644,-65.2540395913922,-25.8172423665628
0.332120642548324,0.325414218963091,0.210860345601827,-74.1509625275245,-34.7141653026951
0.357135722866864,0.325414218963091,0.208383310884243,-83.6794859217085,-44.2426886968792
0.382150803185404,0.325414218963091,0.20597820312797,-93.6284064507754,-54.191609225946
0.407165883503945,0.325414218963091,0.203666781779444,-103.846155260728,-64.4093580358984
0.432180963822485,0.325414218963091,0.201463835615603,-114.223340945678,-74.7865437208488
0.132,0.363885625284122,0.228602802302415,-81.1805926282792,-41.7437954034498
0.15701508031854,0.363885625284122,0.22718138627531,-60.4915726774871,-21.0547754526577
0.182030160637081,0.363885625284122,0.225488052069572,-48.2656180841465,-8.82882085931715
0.207045240955621,0.363885625284122,0.223552467780518,-42.1959002507275,-2.75910302589813
0.232060321274162,0.363885625284122,0.221415023176958,-40.5817268853434,-1.14492966051398
0.257075401592702,0.363885625284122,0.219122365573364,-42.1858548164741,-2.74905759164477
0.282090481911243,0.363885625284122,0.216723869668589,-46.1135640038325,-6.67676677900312
0.307105562229783,0.363885625284122,0.214268138413828,-51.7181333224989,-12.2813360976695
0.332120642548324,0.363885625284122,0.211799891098917,-58.530790052476,-19.0939928276467
0.357135722866864,0.363885625284122,0.209357724971135,-66.2102007168709,-26.7734034920415
0.382150803185404,0.363885625284122,0.206972945980748,-74.506498488348,-35.0697012635187
0.407165883503945,0.363885625284122,0.204669368524512,-83.2357623787492,-43.7989651539198
0.432180963822485,0.363885625284122,0.202463823444958,-92.2618942092922,-52.8250969844628
0.132,0.402357031605152,0.228728036876297,-97.588689597598,-58.1518923727686
0.15701508031854,0.402357031605152,0.227426315081543,-72.6383176559434,-33.201520431114
0.182030160637081,0.402357031605152,0.225862785291035,-56.1502654893206,-16.7134682644913
0.207045240955621,0.402357031605152,0.224058659830284,-46.1283615646214,-6.69156433979202
0.232060321274162,0.402357031605152,0.22204711452433,-40.9680196402446,-1.53122241541524
0.257075401592702,0.402357031605152,0.219869257608394,-39.4367972248294,0
0.282090481911243,0.402357031605152,0.217570730072747,-40.6075553230381,-1.17075809820869
0.307105562229783,0.402357031605152,0.215198125541424,-43.7885678198012,-4.35177059497187
0.332120642548324,0.402357031605152,0.212795627761219,-48.4646657788366,-9.02786855400723
0.357135722866864,0.402357031605152,0.210402422385739,-54.2515490436627,-14.8147518188333
0.382150803185404,0.402357031605152,0.20805115724446,-60.8615688245486,-21.4247715997192
0.407165883503945,0.402357031605152,0.205767410570867,-68.0785072031615,-28.6417099783321
0.432180963822485,0.402357031605152,0.203569937438765,-75.7391008099304,-36.302303585101
0.132,0.440828437926183,0.228846974662406,-117.974632177697,-78.537834952868
0.15701508031854,0.440828437926183,0.2276572412105,-88.883711893472,-49.4469146686427
0.182030160637081,0.440828437926183,0.226219173759875,-68.2542885745297,-28.8174913497003
0.207045240955621,0.440828437926183,0.224545949624606,-54.3654894896017,-14.9286922647723
0.232060321274162,0.440828437926183,0.222663422825476,-45.7068698373789,-6.27007261254948
0.257075401592702,0.440828437926183,0.220606681715673,-41.0587951305887,-1.62199790575932
0.282090481911243,0.440828437926183,0.218416926294612,-39.4712355279454,-0.0344383031160191
0.307105562229783,0.440828437926183,0.216137942871551,-40.2156845193624,-0.778887294532979
0.332120642548324,0.440828437926183,0.213812604131058,-42.7368211088809,-3.30002388405148
0.357135722866864,0.440828437926183,0.211480010069101,-46.6117518757831,-7.17495465095374
0.382150803185404,0.440828437926183,0.209173619947737,-51.5179005887472,-12.0811033639179
0.407165883503945,0.440828437926183,0.206920400059548,-57.2084673757093,-17.7716701508799
0.432180963822485,0.440828437926183,0.204740798218621,-63.4939287050104,-24.0571314801811
0.132,0.479299844247213,0.228956831620744,-140.976083445653,-101.539286220823
0.15701508031854,0.479299844247213,0.227870613429359,-107.97151251546,-68.5347152906307
0.182030160637081,0.479299844247213,0.226551848878573,-83.4069715020489,-43.9701742772195
0.207045240955621,0.479299844247213,0.225006338175169,-65.809634213025,-26.3728369881956
0.232060321274162,0.479299844247213,0.22325279169161,-53.7632288333509,-14.3264316085215
0.257075401592702,0.479299844247213,0.221320089275088,-46.0694943242295,-6.63269709940016
0.282090481911243,0.479299844247213,0.219244547792818,-41.7655245147251,-2.32872728989571
0.307105562229783,0.479299844247213,0.217066560784597,-40.0949742492559,-0.65817702442655
0.332120642548324,0.479299844247213,0.214827060635327,-40.469538019535,-1.03274079470566
0.357135722866864,0.479299844247213,0.212564466632905,-42.4331302747733,-2.99633304994393
0.382150803185404,0.479299844247213,0.21031253917137,-45.6321372430547,-6.1953400182253
0.407165883503945,0.479299844247213,0.208099231401256,-49.7918663596263,-10.355069134797
0.432180963822485,0.479299844247213,0.205946395704456,-54.6983122924308,-15.2615150676015
0.132,0.517771250568244,0.229056706366843,-165.652761878573,-126.215964653743
0.15701508031854,0.517771250568244,0.228065399759473,-129.010534040637,-89.5737368158072
0.182030160637081,0.517771250568244,0.22685880471485,-100.759837978073,-61.3230407532441
0.207045240955621,0.517771250568244,0.22543612776887,-79.652796198779,-40.2159989739496
0.232060321274162,0.517771250568244,0.223809302430319,-64.3671324664328,-24.9303352416034
0.257075401592702,0.517771250568244,0.222001023747263,-53.7335060440622,-14.2967088192328
0.282090481911243,0.517771250568244,0.220042491681666,-46.7853474559565,-7.34855023112709
0.307105562229783,0.517771250568244,0.217970303664207,-42.7470348286647,-3.31023760383533
0.332120642548324,0.517771250568244,0.21582296339936,-41.0044386419851,-1.56764141715576
0.357135722866864,0.517771250568244,0.213637707990538,-41.0739385698648,-1.63714134503545
0.382150803185404,0.517771250568244,0.211448136841772,-42.5751868257497,-3.13838960092028
0.407165883503945,0.517771250568244,0.209282798578974,-45.2087749523969,-5.77197772756756
0.432180963822485,0.517771250568244,0.207164642711345,-48.7384968059259,-9.30169958109656
0.132,0.556242656889274,0.229146684045972,-191.345772387134,-151.908975162305
0.15701508031854,0.556242656889274,0.228241935301874,-151.357737142205,-111.920939917375
0.182030160637081,0.556242656889274,0.227139965288409,-119.686301161092,-80.2495039362626
0.207045240955621,0.556242656889274,0.225834218404887,-95.2877908981038,-55.8509936732744
0.232060321274162,0.556242656889274,0.224330335724491,-76.9327075958246,-37.4959103709952
0.257075401592702,0.556242656889274,0.222645001837201,-63.4865655323163,-24.0497683074869
0.282090481911243,0.556242656889274,0.220804225524145,-53.9870012380409,-14.5502040132115
0.307105562229783,0.556242656889274,0.218840554259645,-47.6467752533678,-8.20997802853839
0.332120642548324,0.556242656889274,0.216789700124647,-43.8325933282786,-4.39579610344919
0.357135722866864,0.556242656889274,0.214687310057958,-42.0387647681233,-2.60196754329394
0.382150803185404,0.556242656889274,0.212566420178917,-41.8625327140079,-2.42573548917852
0.407165883503945,0.556242656889274,0.210455812292035,-42.9831071531322,-3.54630992830278
0.432180963822485,0.556242656889274,0.20837922950514,-45.1445961840383,-5.70779895920896
0.132,0.594714063210305,0.229227339185597,-217.588675216379,-178.151877991549
0.15701508031854,0.594714063210305,0.228401259415677,-174.543502527996,-135.106705303167
0.182030160637081,0.594714063210305,0.227396328343502,-139.717267222584,-100.280469997755
0.207045240955621,0.594714063210305,0.226201055093697,-112.251355292367,-72.8145580675372
0.232060321274162,0.594714063210305,0.22481533854279,-91.0066211281206,-51.5698239032913
0.257075401592702,0.594714063210305,0.223250130885961,-74.8876564020271,-35.4508591771978
0.282090481911243,0.594714063210305,0.221526295297181,-62.9426811577335,-23.5058839329042
0.307105562229783,0.594714063210305,0.219672195168478,-54.3793943727889,-14.9425971479595
0.332120642548324,0.594714063210305,0.217720495134065,-48.5512632891134,-9.11446606428399
0.357135722866864,0.594714063210305,0.215704930368226,-44.9355572788469,-5.49876005401751
0.382150803185404,0.594714063210305,0.21365763353423,-43.1112242742485,-3.67442704941914
0.407165883503945,0.594714063210305,0.211607295587689,-42.7393724974314,-3.30257527260198
0.432180963822485,0.594714063210305,0.209578167098217,-43.546988314596,-4.11019108976666
0.132,0.633185469531335,0.229299460466249,-244.049303784386,-204.612506559557
0.15701508031854,0.633185469531335,0.228544734082461,-198.22202736493,-158.785230140101
0.182030160637081,0.633185469531335,0.227629450361939,-160.498059756235,-121.061262531406
